log2FoldChange	Domain	Phylum	Class	Order	Family	Genus
-0.741	Bacteria	Proteobacteria	NA	NA	NA	NA
5.294	Bacteria	Chloroflexi	NA	NA	NA	NA
-1.841	Bacteria	Tenericutes	NA	NA	NA	NA
-1.984	Bacteria	Cyanobacteria/Chloroplast	NA	NA	NA	NA
-1.221	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
2.146	Bacteria	Bacteroidetes	Flavobacteriia	NA	NA	NA
-1.726	Bacteria	Firmicutes	Negativicutes	NA	NA	NA
1.887	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	NA	NA
-3.029	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	NA	NA
-2.183	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	NA	NA
1.825	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NA	NA
-1.626	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA
-1.885	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	NA	NA
-3.312	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	NA	NA
-2.034	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	NA	NA
-2.609	Bacteria	Firmicutes	Negativicutes	Selenomonadales	NA	NA
-1.964	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	Chloroplast	NA	NA
2.234	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA
-3.173	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	NA
-1.546	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA
-2.246	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA
2.504	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
1.967	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
5.470	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	NA
-2.352	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA
3.898	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	NA
2.407	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	NA
-1.853	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	NA
-1.694	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA
2.973	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA
-2.739	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	NA
-2.502	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	NA
-3.469	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	NA
-2.916	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA
2.385	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	NA
