name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	lfcShrink	Domain	Phylum	Class	Order	Family	Genus
DENOVO361	21.4736260581753	-5.06261193420508	1.51987927151203	-3.33093031077964	0.000865562687453	0.004039292541449	-2.42389159983366	Bacteria	Chloroflexi	NA	NA	NA	NA
DENOVO19	1538.97535211832	3.89585226987376	0.436664762708442	8.92183799239828	4.58612757144728E-19	6.42057860002619E-18	3.78227921927238	Bacteria	Tenericutes	NA	NA	NA	NA
DENOVO214	48.0520027689096	-7.33791827229029	1.59732005784811	-4.59389352574451	4.3505141806025E-06	3.04535992642175E-05	-1.22160728192622	Bacteria	Planctomycetes	NA	NA	NA	NA
DENOVO146	168.430687599077	-2.35708457253219	0.818826382423731	-2.87861337046225	0.003994276860386	0.011183975209081	-1.57437353653794	Bacteria	Candidatus Saccharibacteria	NA	NA	NA	NA
DENOVO19	1533.84004219576	3.92541902814169	0.488029228514476	8.04340969513317	8.73726005894387E-16	2.09694241414653E-14	3.78248901949319	Bacteria	Tenericutes	Mollicutes	NA	NA	NA
DENOVO19	1243.04595778702	5.6228444804319	0.711816112921221	7.8992936214331	2.8048843405529E-15	1.12195373622116E-13	5.30166800158731	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	NA	NA
DENOVO15	369.504327534566	2.96141709742371	0.607236888024485	4.87687285773768	1.07780856253836E-06	2.15561712507672E-05	2.6451894232228	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	NA	NA
DENOVO104	60.4061437101097	-4.34306014266248	0.958833179957354	-4.52952633831012	5.91160649719034E-06	0.000100249240028	-3.50548029242183	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA
DENOVO67	144.469935692509	-2.71836198541052	0.88015263512798	-3.0885120113459	0.002011615617124	0.018225315142181	-1.6212405890085	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA
DENOVO55	219.697976785519	-3.3091687576325	1.10718383606382	-2.98881599409636	0.002800607371269	0.02070835286342	-1.45258695962996	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
DENOVO142	81.7772879144627	-3.30275681278458	0.731147538431055	-4.51722345926494	6.26557750175853E-06	0.000100249240028	-2.92574577785225	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	NA
DENOVO469	36.1346037976267	-3.42133555423611	1.01071179258376	-3.38507532942688	0.000711587233866	0.008132425529901	-2.27807327187426	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA
DENOVO99	45.890437595699	-2.3540503300012	0.883431789538159	-2.66466563449324	0.007706490473394	0.04110128252477	-1.54976510023438	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	NA
DENOVO107	71.5750629931025	-4.50157030416154	0.985727332795417	-4.56675000722113	4.95344170370316E-06	0.000100249240028	-3.88310890491165	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	NA
DENOVO215	126.652064118521	-2.51531911941762	0.952851074008044	-2.63978200584616	0.008295937059325	0.041479685296623	-1.33498067078336	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA
DENOVO19	1162.57334516798	5.34310599436397	0.757914757119534	7.04974529678049	1.79245587234823E-12	1.43396469787858E-10	4.92368957752132	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	NA
DENOVO15	325.62037960672	2.66509701432527	0.644463530223884	4.13537289441254	3.54378719932079E-05	0.000472504959909	2.31321053418295	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	NA
DENOVO89	73.4536943803334	-2.77206481443226	0.899191679016847	-3.08284082150667	0.002050347953495	0.018225315142181	-1.79322062753269	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	NA
DENOVO94	146.673319624713	-2.40893128355719	0.838233033726213	-2.87382050889682	0.00405539364785	0.026111722003798	-1.61501531526158	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis Xi	NA
DENOVO214	50.655854188023	-6.52896795501185	1.40411978213493	-4.64986537336916	3.32151769720326E-06	0.000100249240028	-3.79958420181003	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA
DENOVO146	181.895263135619	-2.46197062874366	0.868141724211436	-2.83590865417735	0.004569551350665	0.026111722003798	-1.5344952631996	Bacteria	Candidatus Saccharibacteria	Saccharibacteria_genera_IS	Saccharibacteria_genera_IS	Saccharibacteria_genera_IS	NA
DENOVO104	59.4069542528049	-4.35354879372725	0.957466560573751	-4.54694604803581	5.44299438030702E-06	0.00017599015163	-3.53762255643531	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia
DENOVO177	28.765048774399	-4.41391957252116	1.2947363197666	-3.40912624843709	0.000651713119122	0.007779796400679	-3.94910435757609	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea
DENOVO151	71.8791031255648	-3.1981254908268	0.945869741382556	-3.3811479011393	0.000721836779444	0.007779796400679	-2.5883895447764	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
DENOVO490	25.1022123738961	-5.25976260546444	1.38721166772949	-3.79160781863472	0.000149675142761	0.002419748141296	-4.67460210227509	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella
DENOVO171	23.2740060323659	-3.0153077016587	1.15199762046899	-2.61746000866837	0.008858686803387	0.042964630996425	-1.83106520203843	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_IS	Tepidimonas
DENOVO22	851.658256579671	-2.17835143756532	0.7976864799917	-2.73083660335823	0.006317378413151	0.038611790072163	-1.50746460447901	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium
DENOVO142	81.5492323220775	-3.34145955243183	0.725959758230088	-4.60281649850456	4.16815453979453E-06	0.00017599015163	-2.98072094641073	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus
DENOVO300	18.6881673483209	-3.4431483827212	1.10333999979274	-3.12065943713452	0.001804465864293	0.017503318883646	-2.07877878135122	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides
DENOVO83	79.9927275011523	-2.56701767668333	0.758964321310794	-3.38226396762614	0.000718910278792	0.007779796400679	-2.01946516916647	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium
